time,open,high,low,close,ECONOMICS:USINTR: close,EMA
1254700800,0.00095865,0.00120045,0.00076392,0.0009704175000000001,NaN,NaN
1255305600,0.0009645337500000001,0.00124491,0.0009645337500000001,0.0011686175,NaN,NaN
1255910400,0.001066575625,0.00128808,0.001066575625,0.0012586925,NaN,NaN
1256515200,0.0011626340625,0.00128455,0.0011626340625,0.0012472475,NaN,NaN
1257120000,0.0012049407812499999,0.00130618,0.0012049407812499999,0.0012697350000000001,NaN,NaN
1257724800,0.001237337890625,0.00135534,0.00123576,0.001271835,NaN,NaN
1258329600,0.0012545864453125,0.0012545864453125,0.00105922,0.00112417,NaN,NaN
1258934400,0.00118937822265625,0.00118937822265625,0.00082926,0.00091482,NaN,NaN
1259539200,0.001052099111328125,0.001052099111328125,0.00073284,0.00077834,NaN,NaN
1260144000,0.0009152195556640625,0.0009152195556640625,0.00061788,0.00066805,NaN,NaN
1260748800,0.0007916347778320313,0.0007916347778320313,0.00061337,0.0006213950000000001,NaN,NaN
1261353600,0.0007065148889160157,0.0007065148889160157,0.0006271,0.00063025,NaN,NaN
1261958400,0.0006683824444580079,0.00071822,0.0006334,0.00067581,NaN,NaN
1262563200,0.0006720962222290039,0.00071822,0.0006720962222290039,0.00071822,NaN,NaN
1263168000,0.0006951581111145019,0.00283078,0.0006951581111145019,0.0017668100000000002,NaN,NaN
1263772800,0.0012309840555572511,0.00325203,0.0012309840555572511,0.0030464575,NaN,NaN
1264377600,0.0021387207777786256,0.0033661,0.0021387207777786256,0.00327593,NaN,NaN
1264982400,0.0027073253888893127,0.00373511,0.0027073253888893127,0.0035159249999999996,NaN,NaN
1265587200,0.0031116251944446564,0.00405351,0.0031116251944446564,0.003924145,NaN,NaN
1266192000,0.0035178850972223284,0.00466157,0.0035178850972223284,0.004404440000000001,NaN,NaN
1266796800,0.003961162548611164,0.00529801,0.003961162548611164,0.005002055,NaN,0.0018215886904761904
1267401600,0.004481608774305582,0.00547226,0.004481608774305582,0.005434605,NaN,0.0021500447186147188
1271635200,0.004958106887152791,0.004958106887152791,0.003,0.003,NaN,0.002227313380558835
1272240000,0.003979053443576396,0.003979053443576396,0.003,0.003,NaN,0.00229755761868985
1272844800,0.003489526721788198,0.0043,0.003,0.00345,NaN,0.002402325107899864
1273449600,0.003469763360894099,0.0044,0.003469763360894099,0.00405,NaN,0.0025521137344544217
1274054400,0.0037598816804470495,0.0049,0.0037598816804470495,0.0046,NaN,0.0027382852131403834
1274659200,0.0041799408402235245,0.0048,0.0041799408402235245,0.00465,NaN,0.0029120774664912574
1275868800,0.004414970420111762,0.005,0.004414970420111762,0.004775000000000001,NaN,0.003081434060446598
1276473600,0.004594985210055882,0.005,0.004594985210055882,0.005,NaN,0.0032558491458605436
1277078400,0.004797492605027941,0.0054,0.0044,0.0048000000000000004,NaN,0.003396226496236858
1277683200,0.004798746302513971,0.0068,0.0044,0.00575,NaN,0.003610205905669871
1278288000,0.005274373151256985,0.0084,0.005274373151256985,0.0066,NaN,0.003882005368790792
1278892800,0.0059371865756284925,0.0925,0.0059371865756284925,0.050085,NaN,0.008082277607991628
1279497600,0.028011093287814245,0.09307,0.028011093287814245,0.07124,NaN,0.013823888734537843
1280102400,0.04962554664390712,0.0699,0.04962554664390712,0.057749999999999996,NaN,0.017817171576852586
1280707200,0.053687773321953555,0.065,0.053687773321953555,0.06135,NaN,0.021774701433502353
1281312000,0.05751888666097678,0.07541,0.05751888666097678,0.0652275,NaN,0.0257249558486385
1281916800,0.061373193330488386,0.0769,0.0612,0.0668225,NaN,0.029461096226035002
1282521600,0.06409784666524419,0.06689,0.063,0.0649725,NaN,0.03268940566003182
1283126400,0.0645351733326221,0.069,0.03211,0.0568275,NaN,0.0348837778727562
